"Номер заказа";"Дата приемки";"Плановая дата исполнения заказа";"Дата фактического исполнения заказа";"Общая стоимость работ без НДС";"Общая стоимость работ с НДС";"Код вида финансирования";"Код заказчика";"Код УНП заказчика";"Наименование заказчика";"Код ОКПО заказчика"
"53251441";"2013-05-16";"";"";"0";"0";"";"42048";"УНП 100240975";"Исключена!!!                         Работать с к/з №35493     ОДО ""НИМЕДРА""";"14564700"
"5327255";"2013-05-28";"";"";"0";"0";"";"2532";"УНП 400014825";"РУП ""Калинковичский ЦСМС""";"02569767"
"5355399";"2013-10-29";"";"";"0";"0";"";"478";"УНП 100003458";"УП ""Минское отделение Белорусской железной дороги"" Минское вагонное депо";"010639285007"
"5344694";"2014-08-18";"";"2040-09-01";"60,1817";"72,218";"";"6119";"УНП 101168731";"ООО ""Евроторг""";"37423830"
"5346825";"2014-08-27";"";"2140-10-01";"134,5448";"161,4538";"";"33283";"УНП 100231650";"Торговое частное унитарное предприятие ""АВТО-КОМБИ""";"14749730"
"5351419";"2014-09-22";"";"2040-10-06";"308,3316";"369,9979";"";"5675";"УНП 100348119";"УП ""Минскинтеркапс""";"03278351"
"5355934";"2014-10-14";"";"3014-10-28";"622,4204";"746,9045";"";"25076";"УНП 290985395";"Государственное предприятие ""ЖРЭУ г. Пинска""";"298698421000"
"5364847";"2014-11-27";"";"2040-12-11";"672,396";"806,8753";"";"2517";"УНП 200167576";"РУП ""Барановичский ЦСМС""";"02568383"
"534972";"2015-01-22";"";"2050-01-29";"342,4902";"410,9882";"";"2517";"УНП 200167576";"РУП ""Барановичский ЦСМС""";"02568383"
"5311649";"2015-02-26";"";"2150-04-03";"33,2667";"39,92";"";"2068";"УНП 600154185";"ОАО ""Крановый завод""";"00915343"
"5330522";"2015-06-02";"";"2050-06-16";"329,4571";"395,3485";"";"2519";"УНП 300000224";"РУП ""Витебский ЦСМС""";"02568420"
"5343773";"2015-08-10";"";"3015-08-24";"186,5781";"223,8938";"";"6360";"УНП 600052677";"Республиканское научное дочернее унитарное предприятие ""Институт защиты растений""";"00751025"
"5349395";"2015-09-11";"";"2050-09-25";"124,3854";"149,2624";"";"908";"УНП 490424842";"Унитарное предприятие ""Калинковичский молочный комбинат""";"29305527"
"5349382";"2015-09-11";"";"2050-09-25";"1087,7442";"1305,293";"";"2522";"УНП 500028553";"Гродненский ЦСМС";"02568443"
"5353292";"2015-10-06";"";"2150-10-14";"643,4807";"772,177";"";"5682";"УНП 500380335";"РУП ""Лидский ЦСМС""";"28837716"
"5368256";"2015-12-23";"";"2060-01-06";"1897,8997";"2277,4796";"";"2519";"УНП 300000224";"РУП ""Витебский ЦСМС""";"02568420"
"533681";"2016-01-15";"";"2060-01-29";"693,5661";"832,2793";"";"2513";"УНП 600008967";"РУП ""Борисовский ЦСМС""";"02568466"
"539798";"2016-02-12";"";"3016-02-26";"92,7537";"111,3044";"";"3266";"УНП 100216781";"ЧУП ""Институт радиационной безопасности ""Белрад""";"28641798"
"5319746";"2016-04-05";"";"2060-04-19";"849,7674";"1019,7208";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"5322918";"2016-04-21";"";"3016-06-06";"475,7186";"570,8624";"";"29131";"УНП 690542655";"ООО ""Центр метрологии ""КАЛИБРОНЭКС""";"296202786000"
"5323624";"2016-04-26";"";"2060-05-11";"840,893";"1009,0717";"";"2531";"УНП 700016750";"Могилевский ЦСМС";"025688977000"
"5343268";"2016-08-09";"";"2160-08-19";"685,64";"822,77";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"5355204";"2016-10-13";"";"2160-10-27";"145,46";"174,55";"";"2628";"УНП 391617058";"Унитарное предприятие ""Полоцкий молочный комбинат""";"501386142000"
"5356293";"2016-10-19";"";"2060-11-02";"140,3";"168,36";"";"5682";"УНП 500380335";"РУП ""Лидский ЦСМС""";"28837716"
"5362848";"2016-11-23";"";"2060-12-02";"88,44";"106,13";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"535285";"2017-01-19";"";"2070-02-02";"640,93";"769,12";"";"2531";"УНП 700016750";"Могилевский ЦСМС";"025688977000"
"539456";"2017-02-09";"";"2070-02-23";"759,19";"911,02";"";"5682";"УНП 500380335";"РУП ""Лидский ЦСМС""";"28837716"
"5315330";"2017-03-14";"";"2501-03-28";"72,72";"87,26";"";"620";"УНП 100088732";"СОАО ""Коммунарка""";"00390449"
"5317975";"2017-03-27";"";"5017-04-15";"125,45";"150,53";"";"8696";"УНП 200121397";"Государственное учреждение ""Ганцевичский районный ЦГиЭ""";"05562104"
"5323352";"2017-04-20";"";"2070-05-29";"159,39";"191,26";"";"476";"УНП 100093400";"ОАО ""Агат - электромеханический завод""";"373342105000"
"5332960";"2017-06-09";"";"2077-06-23";"67,34";"80,8";"";"344";"УНП 100211261";"ОАО ""МЭТЗ ИМ. В.И.КОЗЛОВА""";"05544590"
"5341107";"2017-07-19";"";"2070-08-31";"640,68";"768,83";"";"472";"УНП 100320487";"ОАО ""МАЗ"" - управляющая компания холдинга ""БЕЛАВТОМАЗ""";"05808729"
"5350258";"2017-09-08";"";"2070-09-22";"77,95";"93,54";"";"40809";"УНП 191822482";"ООО ""Агрофид-энерго""";""
"5361067";"2017-11-01";"";"2070-11-15";"91,66";"109,99";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"5368497";"2017-12-08";"";"2070-12-22";"145,44";"174,53";"";"4039";"УНП 101382010";"Республиканское унитарное предприятие по эксплуатации зданий ""БелЭЗ""";"37492251"
"533710";"2018-01-10";"";"2080-01-24";"399,85";"479,82";"";"50380";"УНП 691159723";"ООО ""Несвижский завод детского питания""";""
"533622";"2018-01-10";"";"2088-01-31";"161,04";"193,25";"";"5";"УНП 101002035";"Государственное предприятие ""НПЦГ""";"020176315000"
"534991";"2018-01-17";"";"2080-01-31";"38,19";"45,83";"";"7262";"УНП 800007034";"ООО ""ПРИРОДООХРАННЫЕ И ЭНЕРГОСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ""";"37541357"
"5311229";"2018-02-13";"";"2201-03-03";"105,8";"126,96";"";"2618";"УНП 400051757";"ОАО ""Гомсельмаш""";"05764311"
"5311443";"2018-02-14";"";"2080-02-28";"370,82";"444,98";"";"2533";"УНП 600154116";"РУП ""Слуцкий центр стандартизации, метрологии и сертификации""";"02569773"
"5316985";"2018-03-15";"";"2080-03-20";"302,49";"362,99";"";"2517";"УНП 200167576";"РУП ""Барановичский ЦСМС""";"02568383"
"5317459";"2018-03-16";"";"3018-03-30";"41,78";"50,14";"";"28207";"УНП 190982295";"Частное предприятие ""ДЭКОС-ПЛЮС""";"377875035000"
